单位编码,单位名称,医院项目编码,医院项目名称,国标编码,国标名称,备注
,南京江宁卫生信息平台,N81.252,Ⅱ度子宫脱垂,N81.202,Ⅱ度子宫脱垂,
,南京江宁卫生信息平台,E74.059,庞普[蓬佩]氏病[Ⅱ型糖原累积病],E74.003,Ⅱ型糖原贮积症,
,南京江宁卫生信息平台,I44.201,Ⅲ度房室传导阻滞(完全房室阻滞),I44.200,Ⅲ度房室传导阻滞,
,南京江宁卫生信息平台,L55.251,Ⅲ度晒伤,L55.200,Ⅲ度晒斑\[晒伤\],
,南京江宁卫生信息平台,N81.351,Ⅲ度子宫脱垂,N81.301,Ⅲ度子宫脱垂,
,南京江宁卫生信息平台,E74.057,科里氏病[Ⅲ型糖原累积病],E74.004,Ⅲ型糖原贮积症,
,南京江宁卫生信息平台,E74.058,麦卡德尔氏(-施密德)(-皮尔逊)病[Ⅴ型糖原累积病],E74.005,Ⅴ型糖原贮积症,
,南京江宁卫生信息平台,T80.351,ＡＢＯ血型不合,T80.300,ABO血型不配合性反应,
,南京江宁卫生信息平台,T80.352,输注或输血时血型不配合性反应,T80.300,ABO血型不配合性反应,
,南京江宁卫生信息平台,A40.051,Ａ族链球菌引起的败血病,A40.000,A族链球菌性败血症,
,南京江宁卫生信息平台,C85.151,Ｂ－细胞淋巴瘤 NOS,C85.100,B-细胞淋巴瘤,
,南京江宁卫生信息平台,A40.151,Ｂ族链球菌引起的败血病,A40.100,B族链球菌性败血症,
,南京江宁卫生信息平台,A40.152,链球菌性无乳性败血病,A40.100,B族链球菌性败血症,
,南京江宁卫生信息平台,J15.351,Ｂ族链球菌引起的肺炎,J15.300,B族链球菌性肺炎,
,南京江宁卫生信息平台,P23.351,Ｂ族链球菌引起的先天性肺炎,P23.300,B族链球菌性先天性肺炎,
,南京江宁卫生信息平台,P36.051,Ｂ族链球菌引起的新生儿脓毒症,P36.000,B族链球菌性新生儿脓毒症,
,南京江宁卫生信息平台,E53.803+,侧索联合变性病,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.804+,达纳-普特南氏综合征(脊髓后侧索综合征),E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.805+,脊髓后侧索硬化,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.806+,达-普综合征(脊髓后侧索综合征，亚急性),E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.807+,脊髓亚急性联合变性[达娜(纳)－帕(普)特南氏综合征],E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.809+,亚急性联合病变,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.852,生物素缺乏,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.853,泛酸缺乏,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,E53.854,氰钴胺素缺乏,E53.800,B族维生素缺乏病，其他特指的,
,南京江宁卫生信息平台,A40.251,Ｄ族链球菌引起的败血病,A40.200,D族链球菌性败血症,
,南京江宁卫生信息平台,B00.901,ＥＢ病毒感染,B00.901,EB病毒感染,
,南京江宁卫生信息平台,B00.802+,ＥＢ病毒感染的病毒性肝炎,B00.803？,EB病毒性肝炎,
,南京江宁卫生信息平台,B00.803+,ＥＢ病毒感染的病毒性肝炎伴肝昏迷,B00.803？,EB病毒性肝炎,
,南京江宁卫生信息平台,E75.051,泰－萨克斯病,E75.000,GM2神经节苷脂贮积症,
,南京江宁卫生信息平台,E75.052,桑德霍夫病,E75.000,GM2神经节苷脂贮积症,
,南京江宁卫生信息平台,E75.053,成人型ＧＭ2神经节苷脂沉积症,E75.000,GM2神经节苷脂贮积症,
,南京江宁卫生信息平台,E75.054,幼年型ＧＭ2神经节苷脂沉积症,E75.000,GM2神经节苷脂贮积症,
,南京江宁卫生信息平台,E75.152,ＧＭ3神经节苷脂沉积症,E75.101,GM3神经节苷脂沉积症,
,南京江宁卫生信息平台,N02.801,IgA肾病,N02.801,IgA肾病,
,南京江宁卫生信息平台,N05.801,IgM肾病,N05.801,IgM肾病,
,南京江宁卫生信息平台,D89.901,POEMS综合征,D89.801,POEMS综合征,
,南京江宁卫生信息平台,A78.X01,寇(Ｑ)热,A78.x00,Q热,
,南京江宁卫生信息平台,A78.X51+,寇(Ｑ)热伴有肺炎,A78.x00,Q热,
,南京江宁卫生信息平台,T80.451,ＲＨ不配合性反应,T80.400,Rh不配合性反应,
,南京江宁卫生信息平台,C84.251,Ｔ－区性淋巴瘤 (M97030/3),C84.200,T-区性淋巴瘤,
,南京江宁卫生信息平台,C84.551,其他和未特指的Ｔ细胞淋巴瘤 (M95900/3),C84.500,T-细胞淋巴瘤，其他和未特指的,
,南京江宁卫生信息平台,D82.351,Ｘ连锁淋巴增生性疾病,D82.301,X-连锁淋巴增生性疾病,
,南京江宁卫生信息平台,D80.053,Ｘ连锁的[布鲁顿](伴有生长激素缺乏)无丙种球蛋白血症,D80.002,X-连锁无丙球蛋白血症,
,南京江宁卫生信息平台,I20.152,心绞痛Ｘ－综合征[微血管型心绞痛],I20.802,X综合征,
,南京江宁卫生信息平台,I20.801,Ｘ综合征,I20.802,X综合征,
,南京江宁卫生信息平台,T44.651,α肾上腺素能受体拮抗剂中毒，NEC,T44.600,α肾上腺素能受体拮抗剂中毒，不可归类在他处者,
,南京江宁卫生信息平台,D56.001,α型地中海贫血,D56.000,α型地中海贫血,
,南京江宁卫生信息平台,C88.151,α重链病 (M97620/3),C88.100？,α重链病,
,南京江宁卫生信息平台,T44.751,β肾上腺素能受体拮抗剂中毒，NEC,T44.700,β肾上腺素能受体拮抗剂中毒，不可归类在他处者,
,南京江宁卫生信息平台,D56.101,库利氏贫血,D56.100,β型地中海贫血,
,南京江宁卫生信息平台,D56.102,β型地中海贫血,D56.100,β型地中海贫血,
,南京江宁卫生信息平台,D56.151,镰状细胞β型地中海贫血,D56.100,β型地中海贫血,
,南京江宁卫生信息平台,B27.051,γ疱疹病毒性单核细胞增多症,B27.000,γ疱疹病毒性单核细胞增多症,
,南京江宁卫生信息平台,C88.251,γ重链病 (M97630/3),C88.200？,γ重链病,
,南京江宁卫生信息平台,D56.251,δ-β型地中海贫血,D56.200,δ-β型地中海贫血,
,南京江宁卫生信息平台,G30.904,阿耳茨海默氏病(早老性痴呆),G30.900,阿尔茨海默病,
,南京江宁卫生信息平台,G30.952,阿尔茨海默硬化 NOS,G30.900,阿尔茨海默病,
,南京江宁卫生信息平台,G30.851+,非典型型或混合型阿尔茨海默氏病,G30.800,"阿尔茨海默病,其他的",
,南京江宁卫生信息平台,G30.151,阿尔茨海默病，伴有晚期发病(老年性),G30.100,阿尔茨海默病伴有晚期发病,
,南京江宁卫生信息平台,G30.152+,晚期发病(老年性)阿尔茨海默氏病引起的痴呆,G30.100,阿尔茨海默病伴有晚期发病,
,南京江宁卫生信息平台,G30.051,阿尔茨海默病(早老性)),G30.000,阿尔茨海默病伴有早期发病,
,南京江宁卫生信息平台,G30.052+,早期发病(早老性)阿尔茨海默氏病引起的痴呆,G30.000,阿尔茨海默病伴有早期发病,
,南京江宁卫生信息平台,G30.951+,阿尔茨海默氏病引起的痴呆,G30.901？,阿尔茨海默病性痴呆,
,南京江宁卫生信息平台,A02.003,阿哥拉沙门氏菌肠炎,A02.001,阿哥拉沙门菌肠炎,
,南京江宁卫生信息平台,L94.651,自发性断趾病[阿洪病],L94.600,阿洪病,
,南京江宁卫生信息平台,Q07.001,阿诺德-希阿里氏综合征(阿－基氏综合征)[基底压迹综合征],Q07.000,阿-基综合征,
,南京江宁卫生信息平台,Q15.001,基底压迹综合征,Q07.000,阿-基综合征,
,南京江宁卫生信息平台,Q13.451,阿克森费尔德变性(钙化性),Q15.001,阿克森费尔德因异常,
,南京江宁卫生信息平台,Q15.051,阿克森费尔德因异常或综合征,Q15.001,阿克森费尔德因异常,
,南京江宁卫生信息平台,A52.102+,阿-罗氏瞳孔,A52.102？,阿-罗瞳孔,
,南京江宁卫生信息平台,A06.451,阿米巴脓肿,A06.900,阿米巴病,
,南京江宁卫生信息平台,A06.901,阿米巴病 NOS,A06.900,阿米巴病,
,南京江宁卫生信息平台,Z22.101,阿米巴病带菌者,Z22.101,阿米巴病带菌者,
,南京江宁卫生信息平台,Z22.153,阿米巴病携带者,Z22.101,阿米巴病带菌者,
,南京江宁卫生信息平台,A06.201,非痢疾性阿米巴结肠炎,A06.200,阿米巴非痢疾性结肠炎,
,南京江宁卫生信息平台,A06.251,非痢疾性阿米巴肠炎,A06.200,阿米巴非痢疾性结肠炎,
,南京江宁卫生信息平台,A06.252,急性非痢疾性阿米巴肠炎,A06.200,阿米巴非痢疾性结肠炎,
,南京江宁卫生信息平台,A06.253,慢性非痢疾性阿米巴肠炎,A06.200,阿米巴非痢疾性结肠炎,
,南京江宁卫生信息平台,A06.501+,阿米巴性肺脓肿,A06.500？,阿米巴肺脓肿,
,南京江宁卫生信息平台,A06.502+,肝肺阿米巴脓肿,A06.501？,阿米巴肝肺脓肿,
,南京江宁卫生信息平台,A06.401,阿米巴性肝脓肿,A06.400,阿米巴肝脓肿,
,南京江宁卫生信息平台,A06.402,肝阿米巴病,A06.400,阿米巴肝脓肿,
,南京江宁卫生信息平台,A06.801+,肺阿米巴病,A06.800,阿米巴感染，其他部位的,
,南京江宁卫生信息平台,A06.851,阿米巴性阑尾炎,A06.800,阿米巴感染，其他部位的,
,南京江宁卫生信息平台,A06.852,阿米巴性外阴炎,A06.800,阿米巴感染，其他部位的,
,南京江宁卫生信息平台,A06.853+,阿米巴性心包炎,A06.800,阿米巴感染，其他部位的,
,南京江宁卫生信息平台,A06.854+,阿米巴性龟头炎,A06.800,阿米巴感染，其他部位的,
,南京江宁卫生信息平台,A06.001,阿米巴性肠炎,A06.001,阿米巴结肠炎,
,南京江宁卫生信息平台,A06.002,阿米巴性结肠炎,A06.001,阿米巴结肠炎,
,南京江宁卫生信息平台,A06.004,肠道阿米巴病 NOS,A06.001,阿米巴结肠炎,
,南京江宁卫生信息平台,A06.003,阿米巴性痢疾,A06.002,阿米巴痢疾,
,南京江宁卫生信息平台,A06.651+,阿米巴性脑脓肿,A06.600？,阿米巴脑脓肿,
,南京江宁卫生信息平台,A06.652+,阿米巴脑和肝脓肿,A06.600？,阿米巴脑脓肿,
,南京江宁卫生信息平台,A06.653+,阿米巴脑和肺脓肿,A06.600？,阿米巴脑脓肿,
,南京江宁卫生信息平台,A06.654+,阿米巴脑和肝、肺脓肿,A06.600？,阿米巴脑脓肿,
,南京江宁卫生信息平台,B60.202+,非寄生性阿米巴引起的脑膜脑炎,B60.201？,阿米巴性脑膜脑炎,
,南京江宁卫生信息平台,B60.203+,原发性阿米巴性脑膜脑炎,B60.201？,阿米巴性脑膜脑炎,
,南京江宁卫生信息平台,B60.251+,纳格勒阿米巴病脑炎,B60.201？,阿米巴性脑膜脑炎,
,南京江宁卫生信息平台,B60.201+,阿米巴性脑膜脑炎,B60.201？,阿米巴性脑膜脑炎,
,南京江宁卫生信息平台,T43.052,阿米替林安定药意外中毒 (X41.958),T43.001,阿米替林中毒,
,南京江宁卫生信息平台,T40.051,鸦片类药中毒，意图不确定的 (Y12.951),T40.000,阿片类中毒,
,南京江宁卫生信息平台,T40.251,可待因中毒 (X42.951),T40.200,"阿片样物质中毒,其他的",
,南京江宁卫生信息平台,F84.501,儿童性精神分裂症,F84.500,阿斯珀格综合征,
,南京江宁卫生信息平台,F84.551,阿斯珀综合征,F84.500,阿斯珀格综合征,
,南京江宁卫生信息平台,I45.901,斯托克斯－亚当斯氏综合征[心脏传导阻滞引起晕],I45.901,阿-斯综合征,
,南京江宁卫生信息平台,T44.302,阿托品意外中毒 (X43.951),T44.301,阿托品中毒,
,南京江宁卫生信息平台,T44.306,阿托品自杀 (X63.954),T44.301,阿托品中毒,
,南京江宁卫生信息平台,A98.451,埃博拉病毒病,A98.400,埃博拉病毒病,
,南京江宁卫生信息平台,Q22.501,爱伯斯坦氏异常[埃布施泰因异常],Q22.500,埃布斯坦异常,
,南京江宁卫生信息平台,Q22.551,三尖瓣(小叶)(瓣膜)埃布施泰因异常,Q22.500,埃布斯坦异常,
,南京江宁卫生信息平台,H57.001,艾迪氏综合征(瞳孔),H57.003,埃迪瞳孔,
,南京江宁卫生信息平台,Q77.651,埃利斯－范克勒韦德综合征[软骨外胚层发育不良],Q77.601,埃-范综合征,
,南京江宁卫生信息平台,B65.051,裂体吸虫侵染埃及美洲血吸虫病,B65.000,埃及血吸虫引起的血吸虫病\[泌尿道血吸虫病\],
,南京江宁卫生信息平台,B65.052,泌尿生殖道血吸虫病,B65.000,埃及血吸虫引起的血吸虫病\[泌尿道血吸虫病\],
,南京江宁卫生信息平台,Q79.601,埃莱尔－当洛斯二氏综合征(一种遗传性四联症),Q79.600,埃勒斯-当洛斯综合征,
,南京江宁卫生信息平台,D69.301,埃文斯综合征,D69.302,埃文斯综合征,
,南京江宁卫生信息平台,F45.251,癌病恐怖,F45.202,癌病恐怖,
,南京江宁卫生信息平台,E34.352,拉伦型身材矮小症,E34.301,矮小症,
,南京江宁卫生信息平台,E27.101,阿狄森氏病[青铜色],E27.101,艾迪生病,
,南京江宁卫生信息平台,E27.201,阿狄森氏病危象,E27.200,艾迪生病危象,
,南京江宁卫生信息平台,J20.751,艾柯病毒引起的急性支气管炎,J20.700,艾柯病毒急性支气管炎,
,南京江宁卫生信息平台,B24.X01,艾滋病(Aids)[获得性免疫缺陷(不全)综合征],B24.x01,艾滋病,
,南京江宁卫生信息平台,Q91.301,18-三体综合征,Q91.300,爱德华兹综合征,
,南京江宁卫生信息平台,Q91.351,爱德华兹综合征 NOS,Q91.300,爱德华兹综合征,
,南京江宁卫生信息平台,T42.401,安定剂中毒 (X41.970),T42.401,安定中毒,
,南京江宁卫生信息平台,T42.406,安定剂意外中毒 (X41.955),T42.401,安定中毒,
,南京江宁卫生信息平台,T42.407,安定剂自杀 (X61.903),T42.401,安定中毒,
,南京江宁卫生信息平台,T42.408,安定意外中毒 (X41.955),T42.401,安定中毒,
,南京江宁卫生信息平台,T42.409,安定中毒，原因不明 (Y11.901),T42.401,安定中毒,
,南京江宁卫生信息平台,T42.601,安眠酮意外中毒 (X41.956),T42.601,安眠酮中毒,
,南京江宁卫生信息平台,T42.602,安眠酮自杀 (X61.958),T42.601,安眠酮中毒,
,南京江宁卫生信息平台,F13.201,安眠药物瘾,F13.201,安眠药物瘾,
,南京江宁卫生信息平台,T42.701,安眠药意外中毒 (X41.957),T42.702,安眠药中毒,
,南京江宁卫生信息平台,T42.702,安眠药中毒，原因不明 (Y11.953),T42.702,安眠药中毒,
,南京江宁卫生信息平台,T42.703,安眠药自杀 (X61.951),T42.702,安眠药中毒,
,南京江宁卫生信息平台,T44.304,安坦意外中毒 (X43.956),T44.303,安坦中毒,
,南京江宁卫生信息平台,T44.305,安坦自杀 (X63.953),T44.303,安坦中毒,
,南京江宁卫生信息平台,Z45.801,安装发音钮,Z45.801,安装发音钮,
,南京江宁卫生信息平台,Z46.951,装置的安装和调整 NOS,Z46.900,安装和调整,
,南京江宁卫生信息平台,Z46.851,轮椅装置的安装和调整,Z46.800,安装和调整，其他特指装置的,
,南京江宁卫生信息平台,Z44.851,其他外部假体装置的安装和调整,Z44.800,安装和调整，其他外部假体装置的,
,南京江宁卫生信息平台,Z44.951,外部假体装置的安装和调整 NOS,Z44.900,"安装和调整,外部假体装置的",
,南京江宁卫生信息平台,Z45.351,安装人工耳蜗调整和管理,Z45.301,安装人工耳蜗,
,南京江宁卫生信息平台,Z30.801,放置输卵管内避孕器,Z30.102,安装输卵管内节育器,
,南京江宁卫生信息平台,Z45.001,安装心脏起搏器,Z45.001,安装心脏起搏器,
,南京江宁卫生信息平台,T48.601,氨茶硷意外中毒 (X44.961),T48.601,氨茶碱中毒,
,南京江宁卫生信息平台,T39.251,氨基比林[匹拉米洞]意外中毒 (X40.954),T39.201,氨基比林中毒,
,南京江宁卫生信息平台,E72.902,氨基酸尿,E72.900,氨基酸代谢紊乱,
,南京江宁卫生信息平台,E72.951,氨(基)乙醇尿,E72.900,氨基酸代谢紊乱,
,南京江宁卫生信息平台,E72.952,氨基酸代谢障碍,E72.900,氨基酸代谢紊乱,
,南京江宁卫生信息平台,E72.953,氨基酸缺乏,E72.900,氨基酸代谢紊乱,
,南京江宁卫生信息平台,E72.954,氨基酸病,E72.900,氨基酸代谢紊乱,
,南京江宁卫生信息平台,E72.851,β氨基酸代谢紊乱,E72.800,氨基酸代谢紊乱，其他特指的,
,南京江宁卫生信息平台,E72.852,γ谷氨酰(基)循环紊乱,E72.800,氨基酸代谢紊乱，其他特指的,
,南京江宁卫生信息平台,D53.051,氨基酸缺乏性贫血,D53.002,氨基酸缺乏性贫血,
,南京江宁卫生信息平台,E72.051,眼脑肾综合征伴有范科尼综合征,E72.000,氨基酸转移紊乱,
,南京江宁卫生信息平台,T36.551,链霉素中毒,T36.500,氨基糖苷类中毒,
,南京江宁卫生信息平台,T36.552,卡那霉素中毒,T36.500,氨基糖苷类中毒,
,南京江宁卫生信息平台,T59.801,氨气意外中毒 (X47.964),T59.801,氨气中毒,
,南京江宁卫生信息平台,M95.001,鞍鼻,M95.001,鞍鼻,
,南京江宁卫生信息平台,D32.003,鞍结节脑膜瘤,D32.015,鞍结节脑膜瘤,
,南京江宁卫生信息平台,D32.001,鞍部脑膜瘤,D32.014,鞍区脑膜瘤,
,南京江宁卫生信息平台,D32.002,鞍膈脑膜瘤,D32.014,鞍区脑膜瘤,
,南京江宁卫生信息平台,C71.901,鞍上区恶性肿瘤,C71.901,鞍上区恶性肿瘤,
,南京江宁卫生信息平台,K83.401,奥狄氏扩约肌痉挛,K83.400,奥迪括约肌痉挛,
,南京江宁卫生信息平台,K83.452,欧狄氏括约肌痉挛,K83.400,奥迪括约肌痉挛,
,南京江宁卫生信息平台,K83.801,奥狄氏括约肌狭窄,K83.802,奥迪括约肌狭窄,
,南京江宁卫生信息平台,Q87.801,奥尔波特氏综合征[遗传性肾炎和耳聋],Q87.801,奥尔波特综合征,
,南京江宁卫生信息平台,Q78.401,奥利埃氏病；软骨发育不良,Q78.401,奥利埃病,
,南京江宁卫生信息平台,A93.051,奥罗普什热,A93.000,奥罗普什病毒病,
,南京江宁卫生信息平台,A92.151,奥尼昂-尼昂热,A92.100,奥尼昂-尼昂热,
,南京江宁卫生信息平台,B33.851,假狂犬病[奥斯勒结节],I33.012,奥斯勒结节,
,南京江宁卫生信息平台,I33.051,奥斯勒结节[指尖痛性小结],I33.012,奥斯勒结节,
,南京江宁卫生信息平台,A83.451,昆金病毒病,A83.400,澳大利亚脑炎,
,南京江宁卫生信息平台,A77.351,澳洲立克次体斑疹热,A77.300,澳洲立克次体性斑疹热,
,南京江宁卫生信息平台,B60.051,巴贝虫病,B60.000,巴贝虫病,
,南京江宁卫生信息平台,T42.302,巴比妥盐类意外中毒 (X41.961),T42.300,巴比妥盐类中毒,
,南京江宁卫生信息平台,T42.352,巴比妥盐类中毒，意图不确定的 (Y11.951),T42.300,巴比妥盐类中毒,
,南京江宁卫生信息平台,I82.001,闭塞性肝静脉内膜炎[巴德－基亚里二氏综合征],I82.000,巴德-基亚里综合征,
,南京江宁卫生信息平台,N15.001,巴尔干肾病变[地方性间质性肾病],N15.000,巴尔干肾病,
,南京江宁卫生信息平台,A44.951,巴尔通体病 NOS,A44.900,巴尔通体病,
,南京江宁卫生信息平台,A44.851,其他形式的巴尔通体病,A44.800,巴尔通体病，其他形式的,
,南京江宁卫生信息平台,A28.051,巴斯德菌病,A28.000,巴斯德菌病,
,南京江宁卫生信息平台,E26.801,巴特综合征[血压正常性醛固酮增多；先天性醛固酮过多症],E26.802,巴特综合征,
,南京江宁卫生信息平台,L10.351,巴西天疱疮,L10.300,巴西天疱疮,
,南京江宁卫生信息平台,A48.451,巴西紫热,A48.400,巴西紫热,
,南京江宁卫生信息平台,F63.351,拔毛狂,F63.300,拔毛狂,
,南京江宁卫生信息平台,T81.016,拔牙创口出血,T81.027,拔牙创口出血,
,南京江宁卫生信息平台,L81.551,白斑病,L81.500,白斑病，不可归类在他处者,
,南京江宁卫生信息平台,L80.X01,白斑[白癜风],L80.x00,白癜风,
,南京江宁卫生信息平台,A36.901,白喉 NOS,A36.900,白喉,
,南京江宁卫生信息平台,A36.951,出血性白喉,A36.900,白喉,
,南京江宁卫生信息平台,A36.952,坏疽性白喉,A36.900,白喉,
,南京江宁卫生信息平台,A36.801,播散性白喉,A36.800,"白喉,其他的",
,南京江宁卫生信息平台,A36.851,前鼻白喉,A36.800,"白喉,其他的",
,南京江宁卫生信息平台,A36.853+,白喉性心内膜炎,A36.800,"白喉,其他的",
,南京江宁卫生信息平台,Z22.201,白喉带菌者,Z22.200,白喉带菌者,
,南京江宁卫生信息平台,A36.802+,白喉性多神经炎,A36.803？,白喉性多神经炎,
,南京江宁卫生信息平台,A36.251,白喉性喉气管炎,A36.201,白喉性喉气管炎,
,南京江宁卫生信息平台,A36.852+,白喉性结膜炎,A36.801？,白喉性结膜炎,
,南京江宁卫生信息平台,A36.803+,白喉性心肌炎,A36.802？,白喉性心肌炎,
,南京江宁卫生信息平台,E70.301,白化病,E70.300,白化病,
,南京江宁卫生信息平台,E70.351,赫日曼斯基－普德拉克综合征,E70.300,白化病,
,南京江宁卫生信息平台,E70.352,克罗斯综合征,E70.300,白化病,
,南京江宁卫生信息平台,E70.353,切迪阿克－东(－施泰因布林克)异常,E70.300,白化病,
,南京江宁卫生信息平台,A93.151,白岭热[三日热],A93.100,白蛉热,
,南京江宁卫生信息平台,H26.901,白内障 NOS,H26.900,白内障,
,南京江宁卫生信息平台,H26.902,后天性白内障,H26.900,白内障,
,南京江宁卫生信息平台,H26.851,电击性白内障,H26.800,白内障，其他特指的,
,南京江宁卫生信息平台,H26.853,玻璃工人的白内障,H26.800,白内障，其他特指的,
,南京江宁卫生信息平台,H59.051,白内障术后玻璃体综合征,H59.001,白内障术后玻璃体综合征,
,南京江宁卫生信息平台,L95.051,白色(斑块状)萎缩症,L95.001,白色斑块状萎缩症,
,南京江宁卫生信息平台,L30.501,白色糠疹[面部单纯糠疹],L30.500,白色糠疹,
,南京江宁卫生信息平台,D72.802,白血病样反应,D72.800,白细胞的其他特指疾患,
,南京江宁卫生信息平台,D72.854,髓细胞性白血病样反应,D72.800,白细胞的其他特指疾患,
,南京江宁卫生信息平台,D72.951,白细胞病 NOS,D72.900,白细胞疾患,
,南京江宁卫生信息平台,D70.X01,白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X04,中性白细胞减少性脾大,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X53,恶性中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X54,继发性中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X55,先天性中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X56,中毒性中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X57,药物性中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D70.X58,脾性(原发性)中性白细胞减少症,D70.x04,白细胞减少,
,南京江宁卫生信息平台,D72.051,遗传性白黑变病,D72.000,白细胞遗传性异常,
,南京江宁卫生信息平台,D72.052,白细胞颗粒异常[奥尔德氏综合征],D72.000,白细胞遗传性异常,
,南京江宁卫生信息平台,D72.053,梅－黑格林综合征,D72.000,白细胞遗传性异常,
,南京江宁卫生信息平台,D72.055,遗传性白细胞性分节不足,D72.000,白细胞遗传性异常,
,南京江宁卫生信息平台,R72.X51,白细胞分类计数异常,R72.x00,白细胞异常，不可归类在他处者,
,南京江宁卫生信息平台,D72.801,白细胞增多症,D72.802,白细胞增多症,
,南京江宁卫生信息平台,B36.201,白癣,B36.200,白癣,
,南京江宁卫生信息平台,C95.901,白血病 (M98000/3),C95.900,白血病,
,南京江宁卫生信息平台,C95.903+,白血病性关节病 (M98000/3),C95.900,白血病,
,南京江宁卫生信息平台,C95.904+,脑膜白血病 (M98000/3),C95.900,白血病,
,南京江宁卫生信息平台,C95.951+,关节病合并白血病,C95.900,白血病,
